Date,Rain,T_max,T_min,Himachal_Pradesh,HP_Tourism,HP_Weather,HP_Travel,Party & Holiday Supplies,Geographic Reference,Travel,Hotels & Accommodations,Air Travel,Bus & Rail,Car & Taxi,Tourist Destinations,Travel Agencies,Tourist Arrivals
2013-06-01,1.5845553912526975,1.1375396354730083,0.8690817023914601,-0.0045595779029344325,0.426805255612058,-0.2756707123581888,-0.20202278181431285,1,0.620112907537615,1.0220962875453663,2,0,1.1449679187854132,1,1.3296957631083461,1,1431888.75
2013-07-01,1.7878635711280866,0.6012412565658949,1.547005312517748,-0.0045595779029344325,-0.1261982317258244,-0.5978027807318028,-1.1667846378255204,0,-0.4668265708429237,-0.9598430643138901,1,1,-0.6138230636814577,0,-0.38179383297170316,0,1059344.375
2013-08-01,1.697746395518449,0.49728187850082317,1.5275505510792455,-0.5380301925462649,-0.1261982317258244,-0.7051801368563408,-0.8451973524884513,1,-0.6644519305484762,-0.7616491291279645,1,1,-0.22298062313326414,0,-0.552942792579708,2,1197845.75
2013-09-01,-0.29489855019301825,0.3405177369741284,0.7912626566374492,-0.7158537307607085,-0.01559753425824791,-0.7051801368563408,-0.523610067151382,0,-0.5656392506957,-0.7616491291279645,1,1,-0.22298062313326414,0,-0.21064487336369822,1,1279974.125
2013-10-01,-1.0204849324089043,-0.02086486296635788,-0.05427120588209291,-0.44911842343904324,-0.01559753425824791,-0.7588688149186098,-0.20202278181431285,0,-0.4668265708429237,-0.9598430643138901,2,0,-0.22298062313326414,0,-0.552942792579708,0,1579088.5
2013-11-01,-0.9219415645662541,-0.9300968838211878,-0.6558722903650238,-0.8047654998679302,-0.23679892919340087,-0.7051801368563408,-0.20202278181431285,0,-0.6644519305484762,-1.1580369994998156,1,1,-0.41840184340736086,0,-0.8952407117957178,0,955352.0
2013-12-01,-0.8629290757139088,-1.2898293349034982,-1.3891671445855118,-1.0715008071895955,-0.23679892919340087,-0.5978027807318028,-0.8451973524884513,0,-0.6644519305484762,-1.1580369994998156,1,0,-0.41840184340736086,0,-0.552942792579708,0,1066972.0
2014-01-01,-0.3660967068205339,-1.9467370938546766,-1.2331100274465068,-1.0715008071895955,-0.23679892919340087,-0.5441141026695338,-0.20202278181431285,0,-0.8620772902540287,-1.2571339670927786,0,1,-0.41840184340736086,1,-0.8952407117957178,0,883721.125
2014-02-01,0.6940069728527998,-1.5217577569200977,-1.2252682620666795,-0.8047654998679302,-0.1261982317258244,-0.5441141026695338,-0.8451973524884513,0,-0.6644519305484762,-1.058940031906853,1,1,-0.41840184340736086,1,-0.8952407117957178,2,941942.25
2014-03-01,1.0967472841763928,-0.7738442884405276,-0.7917862468146253,-1.1604125762968172,-0.01559753425824791,-0.5441141026695338,-0.523610067151382,0,-0.5656392506957,-0.9598430643138901,1,1,-0.6138230636814577,1,-0.38179383297170316,0,1256459.5
2014-04-01,0.04830216010244993,0.7837972247458761,-0.1061405929173626,-1.0715008071895955,0.09500316320932857,-0.5978027807318028,-0.20202278181431285,0,-0.2692012111373712,-0.8607460967209273,1,1,0.16786181741492937,1,-0.0394959137556933,1,1773931.625
